"SurveyCity","PointID","Survey1","Survey2","Survey3","Survey4","Latitude","Longitude","Survey1Count","Survey2Count","Survey3Count","Survey4Count"
"Dakar","Dakar_01","Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Lagonostictasenegala, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Vanellusspinosus",14.669194,-17.4334529,4,5,5,5
"Dakar","Dakar_02","Lybiusdubius, Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus",14.67664,-17.4474286,5,2,5,1
"Dakar","Dakar_03","Passerdomesticus, Priniasubflava, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea","Lagonostictasenegala, Laniariusbarbarus, Nectariniapulchella, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus","Passerdomesticus",14.671534,-17.439258,5,5,1,1
"Dakar","Dakar_04","Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Upupoepops","Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus","Centropussenegalensis, Corvusalbus, Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus",14.680444,-17.4570154,6,2,1,7
"Dakar","Dakar_05","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis, Uraeginthusbengalus","Lagonostictasenegala, Meropspusillus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus, Ploceuscuculatus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.68337,-17.444036,5,5,4,3
"Dakar","Dakar_06","Meleagrisgallopavo, Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Lagonostictasenegala, Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Lybiusdubius, Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.6918689,-17.4316717,5,5,5,7
"Dakar","Dakar_07","Corvusalbus, Lybiusdubius, Passerdomesticus, Ploceusluteolus, Pycnonotusbarbatus, Streptopeliasenegalensis","Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus, Vanellusspinosus","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.693313,-17.444429,6,4,7,4
"Dakar","Dakar_08","Corvusalbus, Numidameleagris, Passerdomesticus, Pycnonotusbarbatus","Lagonostictasenegala, Laniariusbarbarus, Passerdomesticus, Ploceuscuculatus, Ploceusmelanocephalus, Pycnonotusbarbatus, Uraeginthusbengalus, Vanellusspinosus","Passerdomesticus","Passerdomesticus",14.7057024,-17.4406709,4,8,1,1
"Dakar","Dakar_09","Corvusalbus, Meleagrisgallopavo, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Lonchuracantans, Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus","Meleagrisgallopavo, Passerdomesticus, Priniasubflava, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7044207,-17.4332904,6,6,2,5
"Dakar","Dakar_10","Meleagrisgallopavo, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Columbaguinea, Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Uraeginthusbengalus","Corvusalbus, Passerdomesticus, Psittarochebranneri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus, Ploceusluteolus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.7038814,-17.4233747,4,8,6,4
"Dakar","Dakar_11","Passerdomesticus","Meropspusillus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Uraeginthusbengalus, Vanellusspinosus","Lagonostictasenegala, Laniariusbarbarus, Nectariniapulchella, Passerdomesticus","Corvusalbus, Passerdomesticus, Ploceuscuculatus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.6889946,-17.451558,1,8,4,5
"Dakar","Dakar_12","Corvusalbus, Passerdomesticus, Psittarochebranneri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Corvusalbus, Lybiusdubius, Meropspusillus, Passerdomesticus, Ploceuscuculatus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Uraeginthusbengalus, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus","Corvusalbus, Lamprotorniscaudatus, Passerdomesticus, Ploceuscuculatus, Ploceusluteolus, Pycnonotusbarbatus, Urocoliusmacrourus",14.6936766,-17.4584719,6,11,2,7
"Dakar","Dakar_13","Corvusalbus, Criniferpiscator, Lagonostictasenegala, Passerdomesticus, Pycnonotusbarbatus","Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Upapaepops, Uraeginthusbengalus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus",14.701186,-17.4716289,5,6,4,6
"Dakar","Dakar_14","Corvusalbus, Criniferpiscator, Passerdomesticus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea, Upupoepops, Uraeginthusbengalus","Passerdomesticus","Passerdomesticus",14.7223904,-17.4716289,7,7,1,1
"Dakar","Dakar_15","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Urocoliusmacrourus","Criniferpiscator, Laniariusbarbarus, Meleagrisgallopavo, Passerdomesticus, Pycnonotusbarbatus, Uraeginthusbengalus, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus","Numidameleagris, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis",14.715208,-17.4523594,4,7,2,4
"Dakar","Dakar_16","Corvusalbus, Passerdomesticus","Passerdomesticus","Corvusalbus, Lagonostictasenegala, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus",14.7146019,-17.4443191,2,1,4,1
"Dakar","Dakar_17","Corvusalbus, Passerdomesticus","Criniferpiscator, Lybiusdubius, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis, Streptopeliavinacea","Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis",14.7251429,-17.4537021,2,7,4,4
"Dakar","Dakar_18","Corvusalbus, Passerdomesticus","Corvusalbus, Numidameleagris, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus, Psittaculakrameri, Pycnonotusbarbatus","Passerdomesticus",14.735214,-17.4520371,2,6,5,1
"Dakar","Dakar_19","Passerdomesticus","Passerdomesticus, Pycnonotusbarbatus","Corvusalbus, Criniferpiscator, Passerdomesticus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Streptopeliavinacea, Upupoepops",14.733056,-17.4401019,1,2,7,6
"Dakar","Dakar_20","Camaropterabrachyura, Passerdomesticus, Ploceuscuculatus, Ploceusmelanocephalus, Pogoniuluschrysoconus, Psittaculakrameri, Pycnonotusbarbatus, Streptopeliasenegalensis","Passerdomesticus, Ploceusluteolus, Pycnonotusbarbatus, Streptopeliasenegalensis","Corvusalbus, Passerdomesticus, Streptopeliasenegalensis, Urocoliusmacrourus","Passerdomesticus",14.7255516,-17.4334804,8,4,4,1
"Dakar","Dakar_21","Corvusalbus, Passerdomesticus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus","Lagonostictasenegala, Meropspusillus, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Meropspusillus, Passerdomesticus, Poicephalussenegalus, Psittaculakrameri, Pycnonotusbarbatus",14.7390198,-17.4447222,2,4,5,6
"Dakar","Dakar_22","Corvusalbus, Passerdomesticus, Ploceusmelanocephalus","Passerdomesticus","Passerdomesticus","Criniferpiscator, Lybiusdubius, Passerdomesticus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis",14.7507601,-17.4479076,3,1,1,6
"Dakar","Dakar_23","Corvusalbus, Passerdomesticus, Pycnonotusbarbatus","Passerdomesticus","Corvusalbus, Lybiusdubius, Passerdomesticus, Ploceusluteolus, Ploceusmelanocephalus, Pycnonotusbarbatus, Streptopelia.decipiens, Streptopeliasenegalensis, Uraeginthusbengalus, Uraginthusbengala","Passerdomesticus, Pycnonotusbarbatus",14.7510017,-17.4605546,3,1,10,2
"Dakar","Dakar_24","Corvusalbus, Lagonostictasenegala, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Passerdomesticus","Corvusalbus, Passerdomesticus","Criniferpiscator, Laniariusbarbarus, Meleagrisgallopavo, Passerdomesticus, Priniasubflava, Pycnonotusbarbatus",14.7572269,-17.4499674,5,1,2,6
"Dakar","Dakar_25","Passerdomesticus","Milvusmigrans, Passerdomesticus","Lagonostictasenegala, Lonchuracantans, Passerdomesticus, Ploceusmelanocephalus, Pycnonotusbarbatus","Corvusalbus, Milvusmigrans, Passerdomesticus, Pycnonotusbarbatus",14.7623451,-17.4359204,1,2,5,4
